date,open,high,low,close,adjusted close,return,volume,dividend amount,ticker
5/31/2012,104.3598,105.6198,96.48,98.16,13.0337,-0.059590464,2729300,0,SPTM
4/30/2012,105.0498,106.0398,101.13,104.3802,13.8596,-0.007319973,77100,0,SPTM
3/30/2012,102.7998,105.8802,100.3902,105.15,13.9618,0.032738624,86100,0.4051,SPTM
2/29/2012,99.0198,103.0002,99.0198,102.21,13.5192,0.038723954,65000,0,SPTM
1/31/2012,95.28,99.7998,94.4598,98.4,13.0152,0.05195435,92400,0,SPTM
12/30/2011,93.1098,94.9902,89.64,93.54,12.3724,0.007056985,288600,0.5046,SPTM
11/30/2011,91.29,95.4402,87,93.4002,12.2857,-0.002452115,121000,0,SPTM
10/31/2011,83.52,96.4002,79.5102,93.63,12.3159,0.112256049,148500,0,SPTM
9/30/2011,91.1298,91.8498,82.9902,84.18,11.0729,-0.073133779,106700,0.4163,SPTM
8/31/2011,98.1102,98.3502,82.38,91.2402,11.9466,-0.057831686,554200,0,SPTM
7/29/2011,100.0002,102,96.3102,96.84,12.6799,-0.023097606,94200,0,SPTM
6/30/2011,100.5,100.5,94.8198,99.1302,12.9797,-0.015197269,88800,0.4164,SPTM
5/31/2011,103.2702,103.2702,98.9802,101.1,13.18,-0.014623643,51100,0,SPTM
4/29/2011,100.3098,102.7698,97.5498,102.6,13.3756,0.027643326,74100,0,SPTM
3/31/2011,100.0098,100.23,94.4502,99.84,13.0158,0.005034516,176600,0.3662,SPTM
2/28/2011,96.9702,101.0298,96.9702,99.72,12.9506,0.034227759,116800,0,SPTM
1/31/2011,95.0898,97.6398,94.6998,96.42,12.522,0.01988125,82400,0,SPTM
12/31/2010,89.9502,94.71,89.9502,94.5402,12.2779,0.068079998,116200,0.396,SPTM
11/30/2010,88.9998,91.7502,87.8202,88.89,11.4953,0.005202959,167000,0,SPTM
10/29/2010,85.6302,89.2302,84.48,88.4298,11.4358,0.03876828,75700,0,SPTM
9/30/2010,79.3302,86.07,79.3302,85.1298,11.009,0.090161905,598200,0.066,SPTM
8/31/2010,83.2002,83.9898,77.34,78.15,10.0985,-0.046834738,205600,0,SPTM
7/30/2010,76.47,83.55,75.1398,81.99,10.5947,0.068272566,332600,0,SPTM
6/30/2010,80.8398,84.3402,76.7202,76.7502,9.9176,-0.057065166,210100,0.3525,SPTM
5/28/2010,89.0202,89.97,69.03,81.7398,10.5178,-0.079404814,602700,0,SPTM
4/30/2010,87.6798,91.1598,87.51,88.7898,11.425,0.017183048,259300,0,SPTM
3/31/2010,82.7502,87.7098,82.6698,87.2898,11.232,0.064977671,129700,0.3108,SPTM
2/26/2010,79.6698,82.65,77.07,82.26,10.5467,0.036938354,132700,0,SPTM
1/29/2010,82.74,84.7398,79.3302,79.3302,10.171,-0.031969468,143100,0,SPTM
12/31/2009,81.1098,83.2098,79.86,81.9498,10.5069,0.025273471,157700,0.2941,SPTM
11/30/2009,76.2702,81.66,75.4998,80.22,10.2479,0.05692038,148000,0,SPTM
